
[{'OPEN_TIME': 1690142400000, 'PREDICTION': 0.39077255491961166}]
[{'OPEN_TIME': 1690146000000, 'PREDICTION': 0.3896278704253022}]
[{'OPEN_TIME': 1690149600000, 'PREDICTION': 0.39304894797516554}]
[{'OPEN_TIME': 1690153200000, 'PREDICTION': 0.3942089283027975}]
[{'OPEN_TIME': 1690156800000, 'PREDICTION': 0.39486896117363274}]
[{'OPEN_TIME': 1690160400000, 'PREDICTION': 0.3969491308665518}]
[{'OPEN_TIME': 1690164000000, 'PREDICTION': 0.39382519386145093}]
[{'OPEN_TIME': 1690167600000, 'PREDICTION': 0.3921697945837106}]
[{'OPEN_TIME': 1690171200000, 'PREDICTION': 0.3933211439180278}]
[{'OPEN_TIME': 1690174800000, 'PREDICTION': 0.3941873424695592}]
[{'OPEN_TIME': 1690178400000, 'PREDICTION': 0.3900200073867862}]
[{'OPEN_TIME': 1690182000000, 'PREDICTION': 0.39538583389836657}]
[{'OPEN_TIME': 1690185600000, 'PREDICTION': 0.39251510684255897}]
[{'OPEN_TIME': 1690189200000, 'PREDICTION': 0.39398541724500835}]
[{'OPEN_TIME': 1690192800000, 'PREDICTION': 0.3949408734027959}]
[{'OPEN_TIME': 1690196400000, 'PREDICTION': 0.3944439198190532}]
[{'OPEN_TIME': 1690200000000, 'PREDICTION': 0.39449524171321604}]
[{'OPEN_TIME': 1690203600000, 'PREDICTION': 0.39343062847340554}]
[{'OPEN_TIME': 1690207200000, 'PREDICTION': 0.38800304055905616}]
[{'OPEN_TIME': 1690210800000, 'PREDICTION': 0.3877594695682679}]
[{'OPEN_TIME': 1690214400000, 'PREDICTION': 0.3962485691159795}]
[{'OPEN_TIME': 1690218000000, 'PREDICTION': 0.3929241531411486}]
[{'OPEN_TIME': 1690221600000, 'PREDICTION': 0.3878405274338519}]
[{'OPEN_TIME': 1690225200000, 'PREDICTION': 0.3920492574330444}]
[{'OPEN_TIME': 1690228800000, 'PREDICTION': 0.3896165653938584}]
